CODIGO_ACTIVIDAD,DESCRIPCION_ACTIVIDAD,ANIO,CODIGO_ENTIDAD,ENTIDAD,H000B_Y_H000C_I000B_Y_I000C,H000B_Y_I000B,H000C_Y_I000C,H000A_H000B_Y_H000C,H000B,H000C,I000B_Y_I000C,I000B,I000C,H000E_Y_H000F_I000E_Y_I000F,H000E_Y_I000E,H000F_Y_I000F,H000E_Y_H000F,H000E,H000F,I000E_Y_I000F,I000E,I000F,J000A_J000B_J000C,J000B,J000C,J000A_Y_H000A,J000B_Y_H000B,J000C_Y_H000C,K000A,K321A,K322A,K324A,K200A,K421A,K412A,K521A,K590A,K610A,K620A,K720A,K999A_Y_K810A_Y_K820A,M000A,M321A,M322A,M200A,M323A,M510A,M590A,M999A,O111A,O112A,O200A,P000A,Q000A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q100B,Q200B,Q300B,Q400B,Q900B,Q000C,Q100C,Q200C,Q300C,Q400C,Q900C,Q000D,Q100D,Q200D,Q300D,Q400D,Q900D,ESTATUS
23,Construcción,2018,31,Yucatán,18458,16839,1619,18047,16446,1601,411,393,18,42961,38234,4727,41772,37098,4674,1190,1136,53,1736574,1590782,145792,96386,96730,91060,8919759,4987779,134644,7934,269515,421780,142933,335498,132114,120996,2096,1123663,1240808,12724139,10984668,207913,770044,102043,17367,54484,587619,16060316,1830409,4062,317935,4175411,2100477,836270,811328,131275,296061,349683,145113,32978,133670,16198,21724,45737,9428,27,20507,6958,8816,37766,19363,0,16386,2017,0,Cifras definitivas
23,Construcción,2018,32,Zacatecas,6899,6132,766,6297,5636,660,602,496,106,15814,13598,2216,14079,12168,1911,1735,1430,305,648786,580665,68121,104071,103025,103164,2807834,1581941,15741,0,93348,344390,34243,26465,7310,17985,0,212799,473613,3402141,3002096,5345,266709,1029,23798,22554,80609,3557959,27190,0,259613,2013119,1249857,165522,469446,46001,82293,276372,159901,6942,91920,7987,9622,82589,62085,12672,4634,2905,292,7501,414,0,7087,0,0,Cifras definitivas
23,Construcción,2019,00,Nacional,606261,515695,90566,551681,468807,82874,54581,46889,7692,1408151,1158162,249989,1250947,1023118,227829,157204,135043,22160,75628326,63376151,12252175,139092,135186,147842,394797056,167268737,15293080,621820,22763007,21178820,1978142,5461775,6319179,13998254,415595,69511154,69987494,651666927,339131787,95776498,68539024,49327617,2759602,7295421,88836976,477884027,65723313,83512,6081327,167640354,69184490,39661171,40446849,6058447,12289396,22692506,10970096,1208711,8473571,915624,1124504,4016617,1698542,619778,1056342,404090,237864,1814378,1004580,119503,652468,20061,17766,Cifras definitivas
236,Edificación,2019,00,Nacional,301442,254235,47207,279328,236524,42804,22115,17711,4403,679037,546825,132212,615293,495772,119521,63744,51054,12690,36727311,30335950,6391361,132917,128257,149318,185992988,80193408,4733368,288714,10650998,4833905,1244376,2119210,4343453,3522250,87316,49052762,24923227,319872775,165318736,18128008,32167017,46286638,1204985,4442572,52324819,240131765,19632667,64278,2574464,63840161,22039761,11946866,19347157,2865133,7641244,9513818,3736151,304550,4259639,421697,791782,1940017,564682,513669,449478,286934,125254,753699,335025,70552,332431,10205,5486,Cifras definitivas
237,Construcción de obras de ingeniería civil,2019,00,Nacional,181935,158754,23181,153376,133101,20276,28559,25654,2905,426004,362017,63987,343798,288179,55619,82206,73839,8368,23098139,19829444,3268695,151721,148981,161212,140998101,63411315,2769453,275449,5523196,11330482,498263,2603960,970557,9748294,324022,18009243,25533867,188635937,133606132,8679024,17319361,1670984,1088024,1579730,24692682,180961554,15301784,13682,1825034,57394751,30983535,6794173,13204120,2478404,3934519,6727268,3553461,194151,2341135,382899,255621,1343564,802601,25225,345568,78382,91788,852180,555809,21620,253067,9634,12050,Cifras definitivas
238,Trabajos especializados para la construcción,2019,00,Nacional,122884,102706,20178,118977,99182,19794,3907,3524,384,303109,249319,53790,291856,239168,52688,11253,10151,1102,15802876,13210757,2592119,137214,133197,130953,67805967,23664014,7790259,57656,6588813,5014433,235503,738605,1005168,727710,4257,2449150,19530400,143158215,40206920,68969466,19052646,1369995,466593,1273119,11819476,56790709,30788862,5552,1681829,46405441,16161194,20920132,7895573,714910,713633,6451420,3680484,710011,1872797,111027,77101,733036,331259,80885,261296,38775,20822,208499,113746,27330,66971,222,231,Cifras definitivas
23,Construcción,2019,01,Aguascalientes,10245,8769,1476,10014,8540,1474,231,229,2,22945,18565,4380,22276,17901,4375,668,663,5,1094552,918516,176036,110837,107550,119433,5368634,2536419,45583,40423,59828,368147,88110,55560,31859,43565,246,808921,1289974,5937116,4652271,312229,170924,1007,11282,486801,302602,6393199,187138,4773,229331,3730134,1015159,1492971,521948,66893,633163,239416,185399,10933,25476,11870,5737,30665,4758,18948,5989,638,332,6897,1693,2710,2493,0,0,Cifras definitivas
23,Construcción,2019,02,Baja California,19784,17006,2778,16786,14382,2403,2998,2623,375,42469,34840,7630,33830,27285,6545,8639,7555,1085,2715082,2259919,455163,164366,157130,189396,9323996,5782542,140169,281964,120245,306415,23050,72094,35951,359310,34845,1352171,815241,12850912,11964878,270689,343581,14165,18938,22471,216189,19014133,1328832,836,174155,2714294,1555890,446702,587854,49764,74085,570837,347151,15241,185078,9254,14112,93664,47078,9958,35154,950,523,35431,19197,0,16231,4,0,Cifras definitivas
23,Construcción,2019,03,Baja California Sur,9550,7906,1644,8847,7398,1449,703,508,195,21353,16569,4784,19325,15102,4222,2029,1467,562,1051375,896593,154782,120839,121200,106790,3350575,1397145,128501,469,91349,74145,6022,61723,28800,110391,575,1265619,185837,3356320,2491175,377204,260984,11627,30,4360,210941,3698093,1792162,0,27684,1442033,474864,117580,733652,38297,77641,359811,145714,1323,194959,5133,12682,31492,25422,277,2438,1891,1463,93279,7038,4794,81403,13,30,Cifras definitivas
23,Construcción,2019,04,Campeche,6819,6342,477,2396,1933,463,4423,4409,14,18115,16950,1165,5377,4252,1125,12738,12698,40,1226999,942851,284148,522387,487645,613976,3903492,1188077,4142,0,41926,182164,11960,282989,19065,891809,277073,719834,284453,6298118,5906985,7119,112433,63929,44538,41777,121337,5753234,31946,0,48430,3277426,2661390,128817,210460,83176,193583,222125,162572,3536,35861,8760,11397,37911,31856,0,4728,744,583,48702,31145,4714,12843,0,0,Cifras definitivas
